"","Reporting Organsation Reference","Reporting Organisation Narrative","org_name","Organisation Type","tracker_commit","tracker_spend","YYYYMM year and month","Transaction Type Code","x_original_transaction_value_USDm_Sum","Transaction Type","IATI Organisation Name","Tracker Commit","Tracker Spend","Organisation Name","usability","usability_score","year_month"
"42","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202109",2,"532.075106353476","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","09-2021"
"43","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202110",2,"640.243089187394","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","10-2021"
"44","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202111",2,"1516.66833227076","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","11-2021"
"45","DE-1","Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202112",2,"3120.93732365983","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","12-2021"
"46","DE-1","Federal Ministry for Economic Cooperation and Development (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202101",2,"0.382144","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","01-2021"
"47","DE-1","Federal Ministry for Economic Cooperation and Development (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202103",2,"0.052628394","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","03-2021"
"48","DE-1","Federal Ministry for Economic Cooperation and Development (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202104",2,"14.3304","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","04-2021"
"49","DE-1","Federal Ministry for Economic Cooperation and Development (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202107",2,"3.94086","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","07-2021"
"50","DE-1","Federal Ministry for Economic Cooperation and Development (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202109",2,"2.298763348","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","09-2021"
"51","DE-1","Federal Ministry for Economic Cooperation and Development (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202110",2,"0.35826","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","10-2021"
"52","DE-1","Federal Ministry for Economic Cooperation and Development (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202111",2,"3.60522859725","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","11-2021"
"53","DE-1","Federal Ministry for Economic Cooperation and Development (BMZ)","Germany - Federal Ministry for Economic Cooperation and Development","Bilateral","Yes","No","202112",2,"5.971","Commitments","Germany - Ministry for Economic Cooperation and Development","Yes","No","Germany - Federal Ministry for Economic Cooperation and Development","Yes","Yes","12-2021"
"54","ES-DIR3-EA0035768","AECID Spanish Agency for International Development Cooperation","Spain - Agency for International Development Cooperation (AECID)","Bilateral","Yes","Yes","202101",2,"111.953427240645","Commitments","Spanish Agency for International Development Cooperation (AECID)","Yes","Yes","Spain - Agency for International Development Cooperation (AECID)","Yes","Yes","01-2021"
"55","ES-DIR3-EA0035768","AECID Spanish Agency for International Development Cooperation","Spain - Agency for International Development Cooperation (AECID)","Bilateral","Yes","Yes","202102",2,"6.245720160354","Commitments","Spanish Agency for International Development Cooperation (AECID)","Yes","Yes","Spain - Agency for International Development Cooperation (AECID)","Yes","Yes","02-2021"
"56","ES-DIR3-EA0035768","AECID Spanish Agency for International Development Cooperation","Spain - Agency for International Development Cooperation (AECID)","Bilateral","Yes","Yes","202103",2,"1.89692447076","Commitments","Spanish Agency for International Development Cooperation (AECID)","Yes","Yes","Spain - Agency for International Development Cooperation (AECID)","Yes","Yes","03-2021"
"57","ES-DIR3-EA0035768","AECID Spanish Agency for International Development Cooperation","Spain - Agency for International Development Cooperation (AECID)","Bilateral","Yes","Yes","202104",2,"0.579752989434","Commitments","Spanish Agency for International Development Cooperation (AECID)","Yes","Yes","Spain - Agency for International Development Cooperation (AECID)","Yes","Yes","04-2021"
"58","ES-DIR3-EA0035768","AECID Spanish Agency for International Development Cooperation","Spain - Agency for International Development Cooperation (AECID)","Bilateral","Yes","Yes","202105",2,"0.100038302262","Commitments","Spanish Agency for International Development Cooperation (AECID)","Yes","Yes","Spain - Agency for International Development Cooperation (AECID)","Yes","Yes","05-2021"
"59","ES-DIR3-EA0035768","AECID Spanish Agency for International Development Cooperation","Spain - Agency for International Development Cooperation (AECID)","Bilateral","Yes","Yes","202106",2,"4.378249684683","Commitments","Spanish Agency for International Development Cooperation (AECID)","Yes","Yes","Spain - Agency for International Development Cooperation (AECID)","Yes","Yes","06-2021"
"60","ES-DIR3-EA0035768","AECID Spanish Agency for International Development Cooperation","Spain - Agency for International Development Cooperation (AECID)","Bilateral","Yes","Yes","202107",2,"3.42329219217","Commitments","Spanish Agency for International Development Cooperation (AECID)","Yes","Yes","Spain - Agency for International Development Cooperation (AECID)","Yes","Yes","07-2021"
"61","ES-DIR3-EA0035768","AECID Spanish Agency for International Development Cooperation","Spain - Agency for International Development Cooperation (AECID)","Bilateral","Yes","Yes","202108",2,"1.4899221","Commitments","Spanish Agency for International Development Cooperation (AECID)","Yes","Yes","Spain - Agency for International Development Cooperation (AECID)","Yes","Yes","08-2021"
"62","ES-DIR3-EA0035768","AECID Spanish Agency for International Development Cooperation","Spain - Agency for International Development Cooperation (AECID)","Bilateral","Yes","Yes","202109",2,"0.01644321924","Commitments","Spanish Agency for International Development Cooperation (AECID)","Yes","Yes","Spain - Agency for International Development Cooperation (AECID)","Yes","Yes","09-2021"
"63","ES-DIR3-EA0035768","AECID Spanish Agency for International Development Cooperation","Spain - Agency for International Development Cooperation (AECID)","Bilateral","Yes","Yes","202110",2,"0.248886","Commitments","Spanish Agency for International Development Cooperation (AECID)","Yes","Yes","Spain - Agency for International Development Cooperation (AECID)","Yes","Yes","10-2021"
"64","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202101",2,"0.1210491","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","01-2021"
"65","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202102",2,"26.6564859039","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","02-2021"
"66","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202103",2,"94.5291065724","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","03-2021"
"67","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202104",2,"11.0058282927","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","04-2021"
