"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","variable","value","timeframe","rollingyear"
"4067","Switzerland","Switzerland","Other flows","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4068","Switzerland","Switzerland","Other flows","Commitments",2021,4,12,"Specific donor","Volume",7.7049,"Monthly",NA
"4069","Switzerland","Switzerland","Other flows","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4070","Switzerland","Switzerland","Other flows","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4071","Switzerland","Switzerland","Other flows","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4072","Switzerland","Switzerland","Other flows","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4073","Switzerland","Switzerland","Other flows","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4074","Switzerland","Switzerland","Other flows","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4075","Switzerland","Switzerland","Other flows","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4076","Switzerland","Switzerland","Other flows","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4077","Switzerland","Switzerland","Other flows","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4126","UK","UK","Not specified","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4127","UK","UK","Not specified","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4128","UK","UK","Not specified","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4129","UK","UK","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4130","UK","UK","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4131","UK","UK","Not specified","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4132","UK","UK","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4133","UK","UK","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4134","UK","UK","Not specified","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4135","UK","UK","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4136","UK","UK","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4137","UK","UK","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4186","UK","UK","ODA","Commitments",2021,4,10,"Specific donor","Volume",6.824182071344,"Monthly",NA
"4187","UK","UK","ODA","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4188","UK","UK","ODA","Commitments",2021,4,12,"Specific donor","Volume",0.34172674184,"Monthly",NA
"4189","UK","UK","ODA","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4190","UK","UK","ODA","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4191","UK","UK","ODA","Commitments",2022,1,3,"Specific donor","Volume",1.745216908581,"Monthly",NA
"4192","UK","UK","ODA","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4193","UK","UK","ODA","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4194","UK","UK","ODA","Commitments",2022,2,6,"Specific donor","Volume",1.456896539841,"Monthly",NA
"4195","UK","UK","ODA","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4196","UK","UK","ODA","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4197","UK","UK","ODA","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4246","UK","UK","OOF","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4247","UK","UK","OOF","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4248","UK","UK","OOF","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4249","UK","UK","OOF","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4250","UK","UK","OOF","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4251","UK","UK","OOF","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4252","UK","UK","OOF","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4253","UK","UK","OOF","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4254","UK","UK","OOF","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4255","UK","UK","OOF","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4256","UK","UK","OOF","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4257","UK","UK","OOF","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4306","UK","UK","Other flows","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4307","UK","UK","Other flows","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4308","UK","UK","Other flows","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4309","UK","UK","Other flows","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4310","UK","UK","Other flows","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4311","UK","UK","Other flows","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4312","UK","UK","Other flows","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4313","UK","UK","Other flows","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4314","UK","UK","Other flows","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4315","UK","UK","Other flows","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4316","UK","UK","Other flows","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4317","UK","UK","Other flows","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4366","UNICEF","UNICEF","Not specified","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4367","UNICEF","UNICEF","Not specified","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4368","UNICEF","UNICEF","Not specified","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4369","UNICEF","UNICEF","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4370","UNICEF","UNICEF","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4371","UNICEF","UNICEF","Not specified","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4372","UNICEF","UNICEF","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4373","UNICEF","UNICEF","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4374","UNICEF","UNICEF","Not specified","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4375","UNICEF","UNICEF","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4376","UNICEF","UNICEF","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4377","UNICEF","UNICEF","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4426","UNICEF","UNICEF","ODA","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4427","UNICEF","UNICEF","ODA","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4428","UNICEF","UNICEF","ODA","Commitments",2021,4,12,"Specific donor","Volume",6064.38551099999,"Monthly",NA
"4429","UNICEF","UNICEF","ODA","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4430","UNICEF","UNICEF","ODA","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4431","UNICEF","UNICEF","ODA","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4432","UNICEF","UNICEF","ODA","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4433","UNICEF","UNICEF","ODA","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4434","UNICEF","UNICEF","ODA","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4435","UNICEF","UNICEF","ODA","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4436","UNICEF","UNICEF","ODA","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4437","UNICEF","UNICEF","ODA","Commitments",2022,3,9,"Specific donor","Volume",11508.0177590001,"Monthly",NA
"4486","UNICEF","UNICEF","OOF","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4487","UNICEF","UNICEF","OOF","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4488","UNICEF","UNICEF","OOF","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4489","UNICEF","UNICEF","OOF","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4490","UNICEF","UNICEF","OOF","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4491","UNICEF","UNICEF","OOF","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4492","UNICEF","UNICEF","OOF","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4493","UNICEF","UNICEF","OOF","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4494","UNICEF","UNICEF","OOF","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4495","UNICEF","UNICEF","OOF","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4496","UNICEF","UNICEF","OOF","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4497","UNICEF","UNICEF","OOF","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4546","UNICEF","UNICEF","Other flows","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4547","UNICEF","UNICEF","Other flows","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4548","UNICEF","UNICEF","Other flows","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4549","UNICEF","UNICEF","Other flows","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4550","UNICEF","UNICEF","Other flows","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4551","UNICEF","UNICEF","Other flows","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4552","UNICEF","UNICEF","Other flows","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4553","UNICEF","UNICEF","Other flows","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4554","UNICEF","UNICEF","Other flows","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4555","UNICEF","UNICEF","Other flows","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4556","UNICEF","UNICEF","Other flows","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4557","UNICEF","UNICEF","Other flows","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4606","Unitaid","Unitaid","Not specified","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4607","Unitaid","Unitaid","Not specified","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4608","Unitaid","Unitaid","Not specified","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4609","Unitaid","Unitaid","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4610","Unitaid","Unitaid","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4611","Unitaid","Unitaid","Not specified","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4612","Unitaid","Unitaid","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4613","Unitaid","Unitaid","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4614","Unitaid","Unitaid","Not specified","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4615","Unitaid","Unitaid","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4616","Unitaid","Unitaid","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4617","Unitaid","Unitaid","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4666","Unitaid","Unitaid","ODA","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4667","Unitaid","Unitaid","ODA","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4668","Unitaid","Unitaid","ODA","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4669","Unitaid","Unitaid","ODA","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4670","Unitaid","Unitaid","ODA","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4671","Unitaid","Unitaid","ODA","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4672","Unitaid","Unitaid","ODA","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4673","Unitaid","Unitaid","ODA","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4674","Unitaid","Unitaid","ODA","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4675","Unitaid","Unitaid","ODA","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4676","Unitaid","Unitaid","ODA","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4677","Unitaid","Unitaid","ODA","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4726","Unitaid","Unitaid","OOF","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4727","Unitaid","Unitaid","OOF","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4728","Unitaid","Unitaid","OOF","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4729","Unitaid","Unitaid","OOF","Commitments",2022,1,1,"Specific donor","Volume",23.6,"Monthly",NA
"4730","Unitaid","Unitaid","OOF","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4731","Unitaid","Unitaid","OOF","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4732","Unitaid","Unitaid","OOF","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4733","Unitaid","Unitaid","OOF","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4734","Unitaid","Unitaid","OOF","Commitments",2022,2,6,"Specific donor","Volume",4.386903,"Monthly",NA
"4735","Unitaid","Unitaid","OOF","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4736","Unitaid","Unitaid","OOF","Commitments",2022,3,8,"Specific donor","Volume",49.107324,"Monthly",NA
"4737","Unitaid","Unitaid","OOF","Commitments",2022,3,9,"Specific donor","Volume",23.844943,"Monthly",NA
"4786","Unitaid","Unitaid","Other flows","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4787","Unitaid","Unitaid","Other flows","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4788","Unitaid","Unitaid","Other flows","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4789","Unitaid","Unitaid","Other flows","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4790","Unitaid","Unitaid","Other flows","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4791","Unitaid","Unitaid","Other flows","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4792","Unitaid","Unitaid","Other flows","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4793","Unitaid","Unitaid","Other flows","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4794","Unitaid","Unitaid","Other flows","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4795","Unitaid","Unitaid","Other flows","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4796","Unitaid","Unitaid","Other flows","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4797","Unitaid","Unitaid","Other flows","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4846","UNOCHA","UNOCHA","Not specified","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4847","UNOCHA","UNOCHA","Not specified","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4848","UNOCHA","UNOCHA","Not specified","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4849","UNOCHA","UNOCHA","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4850","UNOCHA","UNOCHA","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4851","UNOCHA","UNOCHA","Not specified","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4852","UNOCHA","UNOCHA","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4853","UNOCHA","UNOCHA","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4854","UNOCHA","UNOCHA","Not specified","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4855","UNOCHA","UNOCHA","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4856","UNOCHA","UNOCHA","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4857","UNOCHA","UNOCHA","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4906","UNOCHA","UNOCHA","ODA","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4907","UNOCHA","UNOCHA","ODA","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4908","UNOCHA","UNOCHA","ODA","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4909","UNOCHA","UNOCHA","ODA","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"4910","UNOCHA","UNOCHA","ODA","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4911","UNOCHA","UNOCHA","ODA","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4912","UNOCHA","UNOCHA","ODA","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4913","UNOCHA","UNOCHA","ODA","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4914","UNOCHA","UNOCHA","ODA","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4915","UNOCHA","UNOCHA","ODA","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4916","UNOCHA","UNOCHA","ODA","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4917","UNOCHA","UNOCHA","ODA","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"4966","UNOCHA","UNOCHA","OOF","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"4967","UNOCHA","UNOCHA","OOF","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"4968","UNOCHA","UNOCHA","OOF","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"4969","UNOCHA","UNOCHA","OOF","Commitments",2022,1,1,"Specific donor","Volume",311.940382,"Monthly",NA
"4970","UNOCHA","UNOCHA","OOF","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"4971","UNOCHA","UNOCHA","OOF","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"4972","UNOCHA","UNOCHA","OOF","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"4973","UNOCHA","UNOCHA","OOF","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"4974","UNOCHA","UNOCHA","OOF","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"4975","UNOCHA","UNOCHA","OOF","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"4976","UNOCHA","UNOCHA","OOF","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"4977","UNOCHA","UNOCHA","OOF","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"5026","UNOCHA","UNOCHA","Other flows","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"5027","UNOCHA","UNOCHA","Other flows","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"5028","UNOCHA","UNOCHA","Other flows","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"5029","UNOCHA","UNOCHA","Other flows","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"5030","UNOCHA","UNOCHA","Other flows","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"5031","UNOCHA","UNOCHA","Other flows","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"5032","UNOCHA","UNOCHA","Other flows","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"5033","UNOCHA","UNOCHA","Other flows","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"5034","UNOCHA","UNOCHA","Other flows","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"5035","UNOCHA","UNOCHA","Other flows","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"5036","UNOCHA","UNOCHA","Other flows","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"5037","UNOCHA","UNOCHA","Other flows","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"5086","US","US","Not specified","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"5087","US","US","Not specified","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"5088","US","US","Not specified","Commitments",2021,4,12,"Specific donor","Volume",59.19925891,"Monthly",NA
"5089","US","US","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"5090","US","US","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"5091","US","US","Not specified","Commitments",2022,1,3,"Specific donor","Volume",78.04224457,"Monthly",NA
"5092","US","US","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"5093","US","US","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"5094","US","US","Not specified","Commitments",2022,2,6,"Specific donor","Volume",89.32441871,"Monthly",NA
"5095","US","US","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"5096","US","US","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"5097","US","US","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"5146","US","US","ODA","Commitments",2021,4,10,"Specific donor","Volume",776.88794341,"Monthly",NA
"5147","US","US","ODA","Commitments",2021,4,11,"Specific donor","Volume",364.89771503,"Monthly",NA
"5148","US","US","ODA","Commitments",2021,4,12,"Specific donor","Volume",3430.83871453001,"Monthly",NA
"5149","US","US","ODA","Commitments",2022,1,1,"Specific donor","Volume",82.26604823,"Monthly",NA
"5150","US","US","ODA","Commitments",2022,1,2,"Specific donor","Volume",98.0884147299999,"Monthly",NA
"5151","US","US","ODA","Commitments",2022,1,3,"Specific donor","Volume",3936.66309635998,"Monthly",NA
"5152","US","US","ODA","Commitments",2022,2,4,"Specific donor","Volume",169.25568711,"Monthly",NA
"5153","US","US","ODA","Commitments",2022,2,5,"Specific donor","Volume",1332.611255,"Monthly",NA
"5154","US","US","ODA","Commitments",2022,2,6,"Specific donor","Volume",8924.98037737002,"Monthly",NA
"5155","US","US","ODA","Commitments",2022,3,7,"Specific donor","Volume",601.972747159999,"Monthly",NA
"5156","US","US","ODA","Commitments",2022,3,8,"Specific donor","Volume",1534.28595482,"Monthly",NA
"5157","US","US","ODA","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"5206","US","US","OOF","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"5207","US","US","OOF","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"5208","US","US","OOF","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"5209","US","US","OOF","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"5210","US","US","OOF","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"5211","US","US","OOF","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"5212","US","US","OOF","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"5213","US","US","OOF","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"5214","US","US","OOF","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"5215","US","US","OOF","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"5216","US","US","OOF","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"5217","US","US","OOF","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"5266","US","US","Other flows","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"5267","US","US","Other flows","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"5268","US","US","Other flows","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"5269","US","US","Other flows","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"5270","US","US","Other flows","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"5271","US","US","Other flows","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"5272","US","US","Other flows","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"5273","US","US","Other flows","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"5274","US","US","Other flows","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"5275","US","US","Other flows","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"5276","US","US","Other flows","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"5277","US","US","Other flows","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"5326","World Bank","World Bank","Not specified","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
"5327","World Bank","World Bank","Not specified","Commitments",2021,4,11,"Specific donor","Volume",0,"Monthly",NA
"5328","World Bank","World Bank","Not specified","Commitments",2021,4,12,"Specific donor","Volume",0,"Monthly",NA
"5329","World Bank","World Bank","Not specified","Commitments",2022,1,1,"Specific donor","Volume",0,"Monthly",NA
"5330","World Bank","World Bank","Not specified","Commitments",2022,1,2,"Specific donor","Volume",0,"Monthly",NA
"5331","World Bank","World Bank","Not specified","Commitments",2022,1,3,"Specific donor","Volume",0,"Monthly",NA
"5332","World Bank","World Bank","Not specified","Commitments",2022,2,4,"Specific donor","Volume",0,"Monthly",NA
"5333","World Bank","World Bank","Not specified","Commitments",2022,2,5,"Specific donor","Volume",0,"Monthly",NA
"5334","World Bank","World Bank","Not specified","Commitments",2022,2,6,"Specific donor","Volume",0,"Monthly",NA
"5335","World Bank","World Bank","Not specified","Commitments",2022,3,7,"Specific donor","Volume",0,"Monthly",NA
"5336","World Bank","World Bank","Not specified","Commitments",2022,3,8,"Specific donor","Volume",0,"Monthly",NA
"5337","World Bank","World Bank","Not specified","Commitments",2022,3,9,"Specific donor","Volume",0,"Monthly",NA
"5386","World Bank","World Bank","ODA","Commitments",2021,4,10,"Specific donor","Volume",0,"Monthly",NA
