"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","oda_oof_other","variable","value","timeframe","rollingyear"
"761","EC","EC",NA,"Commitments",2021,2,5,"Specific donor","All flows","Volume",394.002675134712,"Monthly",NA
"762","EC","EC",NA,"Commitments",2021,2,6,"Specific donor","All flows","Volume",375.942156666345,"Monthly",NA
"763","EC","EC",NA,"Commitments",2021,3,7,"Specific donor","All flows","Volume",394.982259319962,"Monthly",NA
"764","EC","EC",NA,"Commitments",2021,3,8,"Specific donor","All flows","Volume",276.603472848528,"Monthly",NA
"765","EC","EC",NA,"Commitments",2021,3,9,"Specific donor","All flows","Volume",224.943707968668,"Monthly",NA
"802","EC","EC",NA,"Commitments",2020,4,10,"Specific donor","Not specified","Volume",0,"Monthly",NA
"803","EC","EC",NA,"Commitments",2020,4,11,"Specific donor","Not specified","Volume",0,"Monthly",NA
"804","EC","EC",NA,"Commitments",2020,4,12,"Specific donor","Not specified","Volume",0,"Monthly",NA
"805","EC","EC",NA,"Commitments",2021,1,1,"Specific donor","Not specified","Volume",0,"Monthly",NA
"806","EC","EC",NA,"Commitments",2021,1,2,"Specific donor","Not specified","Volume",0,"Monthly",NA
"807","EC","EC",NA,"Commitments",2021,1,3,"Specific donor","Not specified","Volume",0,"Monthly",NA
"808","EC","EC",NA,"Commitments",2021,2,4,"Specific donor","Not specified","Volume",0,"Monthly",NA
"809","EC","EC",NA,"Commitments",2021,2,5,"Specific donor","Not specified","Volume",0,"Monthly",NA
"810","EC","EC",NA,"Commitments",2021,2,6,"Specific donor","Not specified","Volume",0,"Monthly",NA
"811","EC","EC",NA,"Commitments",2021,3,7,"Specific donor","Not specified","Volume",0,"Monthly",NA
"812","EC","EC",NA,"Commitments",2021,3,8,"Specific donor","Not specified","Volume",0,"Monthly",NA
"813","EC","EC",NA,"Commitments",2021,3,9,"Specific donor","Not specified","Volume",0,"Monthly",NA
"850","EC","EC",NA,"Commitments",2020,4,10,"Specific donor","ODA","Volume",441.623392126065,"Monthly",NA
"851","EC","EC",NA,"Commitments",2020,4,11,"Specific donor","ODA","Volume",143.30428591446,"Monthly",NA
"852","EC","EC",NA,"Commitments",2020,4,12,"Specific donor","ODA","Volume",570.545426673675,"Monthly",NA
"853","EC","EC",NA,"Commitments",2021,1,1,"Specific donor","ODA","Volume",0,"Monthly",NA
"854","EC","EC",NA,"Commitments",2021,1,2,"Specific donor","ODA","Volume",6.628873708944,"Monthly",NA
